Player,Team,Player & Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Patrick McCaw,GSW,Patrick McCaw GSW,SG,22,57,10,961,3.4,8.4,0.409,0.7,3,0.238,2.7,5.4,0.503,1,1.3,0.765,0.6,2.5,3.1,3,1.6,0.4,1.5,2.5,8.6
Patrick Patterson,OKC,Patrick Patterson OKC,PF,28,82,3,1270,3,7.5,0.398,1.9,4.8,0.386,1.1,2.7,0.421,1.1,1.3,0.87,0.9,4.6,5.5,1.6,1.4,0.7,0.9,2.5,9
Patty Mills,SAS,Patty Mills SAS,PG,29,82,36,2107,4.8,11.7,0.411,2.6,7.1,0.372,2.2,4.6,0.47,1.8,2,0.89,0.4,2.2,2.6,3.9,0.9,0.2,1.8,2.2,14
Pau Gasol,SAS,Pau Gasol SAS,C,37,77,63,1812,5.7,12.5,0.458,0.9,2.4,0.358,4.8,10.1,0.481,3.1,4.2,0.756,2.6,9.7,12.3,4.7,0.5,1.6,2.1,2.4,15.4
Paul George,OKC,Paul George OKC,SF,27,79,79,2891,7.2,16.7,0.43,3,7.6,0.401,4.1,9.1,0.454,4.2,5.1,0.822,0.9,4.7,5.6,3.3,2,0.5,2.6,2.9,21.6
Paul Millsap,DEN,Paul Millsap DEN,PF,32,38,37,1143,6.4,13.7,0.464,1.2,3.6,0.345,5.1,10.1,0.506,3.5,5.1,0.696,2,5.7,7.7,3.3,1.2,1.4,2.3,3.1,17.5
Paul Zipser,CHI,Paul Zipser CHI,SF,23,54,12,824,3.5,10.2,0.346,1.6,4.8,0.336,1.9,5.4,0.355,0.8,1.1,0.76,0.6,5.2,5.7,2,0.9,0.7,1.9,3.8,9.5
PJ Dozier,OKC,PJ Dozier OKC,PG,21,2,0,3,12,24,0.5,0,0,,12,24,0.5,0,0,,0,12,12,0,0,0,12,12,24
Quincy Acy,BRK,Quincy Acy BRK,PF,27,70,8,1359,3.4,9.7,0.356,2.7,7.7,0.349,0.7,1.9,0.384,1.3,1.6,0.817,1.1,5.7,6.8,1.5,0.9,0.8,1.6,3.9,10.9
Quincy Pondexter,CHI,Quincy Pondexter CHI,SF,29,23,1,196,2.6,9,0.286,0.6,4,0.136,2,5,0.407,2.6,3.1,0.824,1.5,3.5,5,1.7,1.5,0.4,2,4.4,8.3
Quinn Cook,GSW,Quinn Cook GSW,PG,24,33,18,740,5.9,12.3,0.484,2.2,5.1,0.442,3.7,7.2,0.514,1.1,1.2,0.88,0.5,3.5,4,4.3,0.6,0,1.6,2.9,15.2
R.J. Hunter,HOU,R.J. Hunter HOU,SG,24,5,1,45,5.6,16,0.35,2.4,11.2,0.214,3.2,4.8,0.667,1.6,1.6,1,0,4,4,2.4,2.4,0,1.6,5.6,15.2
Rajon Rondo,NOP,Rajon Rondo NOP,PG,31,65,63,1705,4.9,10.4,0.468,1.1,3.2,0.333,3.8,7.3,0.526,0.5,1,0.543,0.7,4.9,5.6,11.3,1.5,0.2,3.2,2.5,11.3
Ramon Sessions,WAS,Ramon Sessions TOT,PG,31,28,3,392,3.9,10.7,0.359,0.7,2.4,0.308,3.1,8.4,0.374,4,5.2,0.772,0.6,2.9,3.5,7.1,1.3,0.2,2.8,2.7,12.5
Rashad Vaughn,ORL,Rashad Vaughn TOT,SG,21,28,0,212,3.9,9.5,0.411,2.4,6.3,0.378,1.5,3.2,0.474,0.7,1,0.667,0.5,3.1,3.6,2.2,0.8,0.5,1,2.5,10.9
Raul Neto,UTA,Raul Neto UTA,PG,25,41,0,498,5,10.9,0.457,1.4,3.4,0.404,3.6,7.5,0.481,1.9,2.5,0.743,0.5,3,3.5,5.4,0.9,0.3,2.6,2.7,13.2
Raymond Felton,OKC,Raymond Felton OKC,PG,33,82,2,1365,5.9,14.6,0.406,2.1,6.1,0.352,3.8,8.5,0.444,0.9,1.2,0.818,0.7,3.5,4.1,5.4,1.3,0.4,2,2.4,14.9
Reggie Bullock,DET,Reggie Bullock DET,SF,26,62,52,1732,5.5,11.3,0.489,2.6,5.8,0.445,3,5.5,0.536,0.8,1,0.796,0.6,2.6,3.2,2,1,0.3,1,1.5,14.5
Reggie Hearn,DET,Reggie Hearn DET,SG,26,3,0,7,5.1,10.3,0.5,5.1,10.3,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,15.4
Reggie Jackson,DET,Reggie Jackson DET,PG,27,45,45,1201,7.4,17.3,0.426,1.6,5.1,0.308,5.8,12.2,0.475,3.4,4,0.836,0.9,2.9,3.7,7.1,0.8,0.1,3,2.6,19.7
Richard Jefferson,DEN,Richard Jefferson DEN,SF,37,20,0,163,2.7,6,0.444,0.4,1.5,0.286,2.2,4.4,0.5,0.9,1.5,0.571,0.4,3.3,3.8,3.3,0.4,0.2,1.1,2.4,6.6
