Player,Team,Player & Team,season17_18
Mike Dunleavy,ATL,Mike Dunleavy ATL,1662500
Delon Wright,TOR,Delon Wright TOR,1645200
OG Anunoby,TOR,OG Anunoby TOR,1645200
Ante Zizic,CLE,Ante Zizic CLE,1645200
Caris LeVert,BRK,Caris LeVert BRK,1632480
Justin Anderson,PHI,Justin Anderson PHI,1579440
Tyler Lydon,DEN,Tyler Lydon DEN,1579440
Jeff Withey,DAL,Jeff Withey DAL,1577320
Ian Clark,NOP,Ian Clark NOP,1577230
Shabazz Muhammad,MIN,Shabazz Muhammad MIN,1577230
Willie Reed,CHI,Willie Reed CHI,1577230
DeAndre Liggins,MIL,DeAndre Liggins MIL,1577230
DeAndre' Bembry,ATL,DeAndre' Bembry ATL,1567200
Joffrey Lauvergne,SAS,Joffrey Lauvergne SAS,1524305
Jerami Grant,OKC,Jerami Grant OKC,1524305
Johnny O'Bryant,NYK,Johnny O'Bryant NYK,1524305
Tyler Ennis,LAL,Tyler Ennis LAL,1524305
Julyan Stone,CHO,Julyan Stone CHO,1524305
Sean Kilpatrick,BRK,Sean Kilpatrick BRK,1524305
Joe Harris,BRK,Joe Harris BRK,1524305
Spencer Dinwiddie,BRK,Spencer Dinwiddie BRK,1524305
Shane Larkin,BOS,Shane Larkin BOS,1524305
Glenn Robinson,IND,Glenn Robinson IND,1524305
Bobby Brown,HOU,Bobby Brown HOU,1524305
Bobby Portis,CHI,Bobby Portis CHI,1516320
Malachi Richardson,TOR,Malachi Richardson TOR,1504560
Arron Afflalo,SAC,Arron Afflalo SAC,1500000
Norman Powell,TOR,Norman Powell TOR,1471382
Josh Richardson,MIA,Josh Richardson MIA,1471382
Rondae Hollis-Jefferson,BRK,Rondae Hollis-Jefferson BRK,1471382
Tyus Jones,MIN,Tyus Jones MIN,1471382
Jarell Martin,MEM,Jarell Martin MEM,1471382
Larry Nance,CLE,Larry Nance CLE,1471382
Troy Williams,HOU,Troy Williams HOU,1471382
Chris McCullough,WAS,Chris McCullough WAS,1471382
Raul Neto,UTA,Raul Neto UTA,1471382
Pat Connaughton,POR,Pat Connaughton POR,1471382
Richaun Holmes,PHI,Richaun Holmes PHI,1471382
T.J. McConnell,PHI,T.J. McConnell PHI,1471382
Josh Huestis,OKC,Josh Huestis OKC,1471382
Jordan Mickey,MIA,Jordan Mickey MIA,1471382
Montrezl Harrell,LAC,Montrezl Harrell LAC,1471382
Joe Young,IND,Joe Young IND,1471382
Kevon Looney,GSW,Kevon Looney GSW,1471382
Nikola Jokic,DEN,Nikola Jokic DEN,1471382
Salah Mejri,DAL,Salah Mejri DAL,1471382
Caleb Swanigan,POR,Caleb Swanigan POR,1465920
Furkan Korkmaz,PHI,Furkan Korkmaz PHI,1465920
Willy Hernangomez,CHO,Willy Hernangomez CHO,1435750
Kyle Kuzma,LAL,Kyle Kuzma LAL,1423560
Tony Bradley,UTA,Tony Bradley UTA,1414920
Derrick White,SAS,Derrick White SAS,1404600
Josh Hart,LAL,Josh Hart LAL,1394520
Timothe Luwawu-Cabarrot,PHI,Timothe Luwawu-Cabarrot PHI,1386600
Kevin Martin,MIN,Kevin Martin MIN,1360305
Brice Johnson,MEM,Brice Johnson MEM,1331160
Pascal Siakam,TOR,Pascal Siakam TOR,1312611
Dejounte Murray,SAS,Dejounte Murray SAS,1312611
Skal Labissiere,SAC,Skal Labissiere SAC,1312611
A.J. Hammons,MIA,A.J. Hammons MIA,1312611
Deyonta Davis,MEM,Deyonta Davis MEM,1312611
Chinanu Onuaku,HOU,Chinanu Onuaku HOU,1312611
Damian Jones,GSW,Damian Jones GSW,1312611
Wayne Selden,MEM,Wayne Selden MEM,1312611
Cheick Diallo,NOP,Cheick Diallo NOP,1312611
Joel Bolomboy,UTA,Joel Bolomboy UTA,1312611
Davis Bertans,SAS,Davis Bertans SAS,1312611
Bryn Forbes,SAS,Bryn Forbes SAS,1312611
Jake Layman,POR,Jake Layman POR,1312611
